idx,task,label,pred,metakey,prob,correct,error,validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein,source_file
3524,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][/C][=C][/C@@H1][Branch1][C][O][C@H1][Branch2][N][O][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][O][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][#Branch1][Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Branch1][=C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C@H1][Ring2][Ring1][=C][O][C@H1][Ring2][Ring2][=Branch2][N][=C][Branch1][C][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][,CCCCCCCCCCCCC/C=C/[C@@H1](O)[C@H1](CO[C@@H1]1O[C@H1](CO)[C@@H1](O[C@@H1]2O[C@H1](CO)[C@H1](O[C@@H1]3O[C@H1](CO)[C@H1](O)[C@H1](O[C@@H1]4O[C@H1](CO)[C@H1](O)[C@H1](O)[C@H1]4O)[C@H1]3NC(C)=O)[C@H1](O[C@]5(C(=O)O)C[C@H1](O)[C@@H1](NC(C)=O)[C@H1]([C@H1](O)[C@H1](O)CO)O5)[C@H1]2O)[C@H1](O)[C@H1]1O)NC(=O)CCCCCCCCCCCCCCCCC,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,1.0,0.0,,,,,011220_llasmol_test_rank0.csv
3772,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][S][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O,Here is a potential molecule: <SMILES> CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O </,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
3916,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][Ring1][#Branch2][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C][Branch1][C][O][O][C@@H1][Ring1][N][C][O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch2][#Branch2][O][C@@H1][O][C@H1][Branch2][=Branch1][#Branch1][C][O][C@H1][O][C@H1][Branch2][Ring1][=C][C][O][C@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring2][Ring2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][S][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][,<SMILES> CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4NC(C)=O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
3980,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][C@@H1][C@@H1][Branch2][Ring1][=Branch1][N][=C][Branch1][C][O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@H1][Branch2][=Branch1][Branch2][O][C][C@H1][O][C@H1][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][Branch2][Ring1][=Branch1][N][=C][Branch1][C][O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@@H1][Branch2][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@@H1][Ring2][Ring2][=N][O][O][C@H1][Branch2][=Branch1][N][C][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch2][Ring2][N][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch2][Ring1][C][C@@H1][Branch1][Ring1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][O][Ring2][Ring1][=Branch1,Sure. <SMILES> CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)O)C[C@@H](O[C@]3(C(=O)O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)(O)O)[C@H](O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)[C@@H](,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
4336,chebi-20-text2mol,<SELFIES>[N][C][C][C][C][C][O][C@@H1][O][C@H1][Branch2][Branch2][Branch1][C][O][C@H1][O][C@H1][Branch2][Ring2][=Branch2][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][=Branch1][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][,Here it is: <SMILES> NCCCCCO[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@H](O)[C@H]2O,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
4560,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch2][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][=Branch1][S][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch2][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C,CC(=O)N[C@H1]1[C@@H1](OP(=O)([O-1])OP(=O)([O-1])OC[C@H1]2O[C@@H1](N3C=CC(=O)[NH1]C3=O)[C@H1](O)[C@@H1]2O)O[C@H1](CO)[C@@H1](O)[C@@H1]1O[C@H1](C)C(=O)N[C@@H1](COP(=O)([O-1])OP(=O)([O-1])OC[C@H1]4O[C@@H1](N5C=CC(=O)[NH1]C5=O)[C@H1](O)[C@@H1]4O)[C@H1](O)C(=O)[O-1],"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,1.0,0.0,,,,,011220_llasmol_test_rank0.csv
5040,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][O][N][O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch2][#Branch2][#Branch1][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][=Branch2][C][O][C@H1][C@H1][Branch2][Branch1][=N][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][=N][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][C@@H1][Ring2][Ring1][Ring1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][=N][O][C@H1][C@@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Ring1][=C][O][O][C@@H1][Ring2][Branch1][#Branch2][C@@H1][Branch1][C][O][C][O][O][C@@H1][Ring2][=Branch1][#Branch1][C][O][C@@H1][Ring2,C[C@@H1]1O[C@@H1](O[C@H1]2[C@H1](O[C@H1]3[C@H1](O[C@H1]4[C@H1](O)[C@@H1](O)[C@H1](O)O[C@@H1]4CO)O[C@@H1](CO)[C@H1](O)[C@@H1]3O[C@@H1]5O[C@H1](CO)[C@@H1](O)[C@H1](O)[C@H1]5O)O[C@H1](CO)[C@H1](O)[C@@H1]2O)[C@H1](O)[C@H1](O)[C@H1]1O,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,1.0,0.0,,,,,011220_llasmol_test_rank0.csv
5260,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][=Branch2][#C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Branch2][#Branch2][O][C@@H1][O][C@H1][Branch1][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C@@H1][Branch2][Branch1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring1][S][O][C][C][C@H1][Branch1][C][O][C@@H1][Branch1][=Branch1][N][=C][Ring1][#Branch1][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring1][S][C@H1][Ring2][Ring1][#Branch2][O][C@H1][Branch2][Ring1][Ring2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][C@H1][Ring2][Branch1][Ring1][N][=C][Branch1][C][C][O-1][C@H1][Ring2][Branch1][P][O][C@H1,<SMILES> CCCCCCCCCCCCCCCCC[C@H](O)CCCCCCCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O[C@@H]4O[C@H](CO)[C@H](O[C@@H]5O[C@H](CO)[C@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@H](O)[C@H](O)[C@H]9O)[C@H]8O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H](,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
5276,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][O][S][O][C@@H1][O][C@H1][Branch2][#Branch1][C][C][O][C@H1][O][C@H1][Branch2][Ring1][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring2][O][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H,Here is a potential molecule: <SMILES> CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,0.0,0.0,,,,,011220_llasmol_test_rank0.csv
5604,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][C][C][C@][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C][C@][Branch1][C][C][C][=Branch2][Branch2][=N][=C][C][C@@H1][C@@][Branch1][C][C][C][C][C@H1][Branch2][=Branch1][O][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][S][O][C@@H1][O][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@@H1][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@H1][Ring2][Ring1][=N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][Branch1][Ring1][C][C][C@][Ring2][Branch1][#Branch1][Ring2][Branch1][N][C][C@@H1][Ring2][=Branch1][S][C][Ring2][#Branch1][Branch1]</SELFI,C[C@H1]1[C@H1](O[C@@H1]2O[C@H1](C(=O)O)[C@@H1](O)[C@H1](O)[C@H1]2O)CC[C@]3(C)[C@H1]4CC[C@@H1]5[C@@]6(C)CCCC(C)(C)[C@@H1]6CC[C@@]5(C)[C@]4(C)CC[C@@H1]13,"validity,exact_match,MACCS_FTS,RDK_FTS,morgan_FTS,levenshtein",,,,1.0,0.0,,,,,011220_llasmol_test_rank0.csv
